id,name,school,dispel,mechanic,attributes,category,cast_time_ms,cooldown_ms,category_cooldown_ms,power_type,mana_cost,mana_cost_pct,range_yards,radius_yards,duration_ms,effect1,effect2,effect3,spell_icon_id,spell_weight,coeff_weight,raw_overrides,notes
53,Backstab,1,0,0,327696,0,0,0,0,3,60,0,5.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 9, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 2.5, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 121}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 149, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 31}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 80}",243,,,"{""AttributesEx"": 134218240, ""AttributesEx2"": 1048576, ""AttributesEx3"": 1024, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 4, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 1118, ""EffectBonusMultiplier_1"": 1.0, ""EffectBonusMultiplier_2"": 1.0, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": 2, ""EquippedItemSubclass"": 32768, ""FacingCasterFlags"": 1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_1"": 8388612, ""SpellClassSet"": 8, ""SpellLevel"": 4, ""SpellPriority"": 50, ""SpellVisualID_1"": 155, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 4); RealPointsPerLevel from rank1→level-60 slope (anchor 25300, rank 9); coefficient/cast_time_ms/mana_cost_pct from max rank (48657, rank 12); MaxLevel set to 80; flat energy cost kept as-is (Rogue is Energy-based, not Mana)"
408,Kidney Shot,1,0,12,327696,270,0,0,20000,3,25,0,5.0,,0,"{""amplitude"": 0, ""apply_aura"": 12, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 3}","{""amplitude"": 0, ""apply_aura"": 87, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 127, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",499,,,"{""AttributesEx"": 4456960, ""AttributesEx3"": 1024, ""AttributesEx4"": 2056, ""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 1318, ""BaseLevel"": 30, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 8715, ""DurationIndex"": 187, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": 2, ""EquippedItemSubclass"": 173555, ""FacingCasterFlags"": 1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_1"": 2097152, ""SpellClassSet"": 8, ""SpellLevel"": 30, ""SpellVisualID_1"": 679, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 30); RealPointsPerLevel from rank1→level-60 slope (anchor 8643, rank 2); coefficient/cast_time_ms/mana_cost_pct from max rank (8643, rank 2); MaxLevel set to 80; flat energy cost kept as-is (Rogue is Energy-based, not Mana)"
703,Garrote,1,0,15,2555920,0,0,0,0,3,50,0,5.0,,18000,"{""amplitude"": 3000, ""apply_aura"": 3, ""base_points"": 19, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 15, ""misc_value"": 0, ""points_per_level"": 1.108695652173913, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 80}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 1330, ""type"": 64}",498,,,"{""AttributesEx"": 134218240, ""AttributesEx2"": 1048576, ""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 17862, ""BaseLevel"": 14, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 17690, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""ShapeshiftMask"": 536870912, ""SpellClassMask_1"": 256, ""SpellClassSet"": 8, ""SpellLevel"": 14, ""SpellVisualID_1"": 757, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 14); RealPointsPerLevel from rank1→level-60 slope (anchor 11290, rank 6); coefficient/cast_time_ms/mana_cost_pct from max rank (48676, rank 10); MaxLevel set to 80; flat energy cost kept as-is (Rogue is Energy-based, not Mana); effect3 (Garrote - Silence trigger, spell 1330) added: absent from rank 1, introduced at rank 7 (26839) and present at every rank through max; preserved on the survivor per explicit decision, flat (single-rank data point, no growth to derive a slope from)"
921,Pick Pocket,1,0,0,196624,0,0,0,0,0,0,0,5.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 71}",,,227,,,"{""AttributesEx"": 2232352, ""AttributesEx3"": 196608, ""AttributesEx4"": 8388608, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 4, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 23506, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""RangeIndex"": 2, ""ShapeshiftMask"": 536870912, ""SpellClassMask_1"": 2147483648, ""SpellClassSet"": 8, ""SpellLevel"": 4, ""SpellVisualID_1"": 251}",pulled from existing data
1329,Mutilate,1,0,0,327696,0,0,0,0,3,60,0,5.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 80}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 5374, ""type"": 64}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 27576, ""type"": 64}",2117,,,"{""AttributesEx"": 134218240, ""AttributesEx2"": 1048576, ""AttributesEx3"": 16843776, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 40, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 30105, ""EffectBonusMultiplier_1"": 1.0, ""EffectBonusMultiplier_2"": 1.0, ""EffectBonusMultiplier_3"": 1.0, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": 2, ""EquippedItemSubclass"": 32768, ""FacingCasterFlags"": 1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_2"": 2097152, ""SpellClassSet"": 8, ""SpellDescriptionVariableID"": 172, ""SpellLevel"": 40, ""SpellVisualID_1"": 7913, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 40); RealPointsPerLevel from rank1→level-60 slope (anchor 34412, rank 3); coefficient/cast_time_ms/mana_cost_pct from max rank (48666, rank 6); MaxLevel set to 80; flat energy cost kept as-is (Rogue is Energy-based, not Mana)"
1725,Distract,1,0,4,1074003984,22,0,0,30000,3,30,0,30.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 9, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 16, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": 10.0, ""trigger_spell"": 0, ""type"": 69}",,,1478,,,"{""AttributesEx"": 132384, ""AttributesEx3"": 131072, ""AuraDescription_Lang_Mask"": 16712188, ""AuraInterruptFlags"": 3, ""BaseLevel"": 22, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 34920, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_1"": 4096, ""SpellClassSet"": 8, ""SpellLevel"": 22, ""SpellVisualID_1"": 261, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000, ""Targets"": 64}",pulled from existing data
1752,Sinister Strike,1,0,0,327696,0,0,0,0,3,45,0,5.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 2, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 1.1016949152542372, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 121}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 80}",,130,,,"{""AttributesEx"": 134218240, ""AttributesEx3"": 1024, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 1, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 35202, ""EffectBonusMultiplier_1"": 1.0, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": 2, ""EquippedItemSubclass"": 173555, ""FacingCasterFlags"": 1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_1"": 8388610, ""SpellClassSet"": 8, ""SpellDescriptionVariableID"": 171, ""SpellLevel"": 1, ""SpellVisualID_1"": 253, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}","single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 1); RealPointsPerLevel from rank1→level-60 slope (anchor 11294, rank 8); coefficient/cast_time_ms/mana_cost_pct from max rank (48638, rank 12); MaxLevel set to 80; flat energy cost kept as-is (Rogue is Energy-based, not Mana)"
1766,Kick,1,0,0,327696,88,0,0,10000,3,25,0,5.0,,5000,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 26, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 68}",,,246,,,"{""AttributesEx"": 134218240, ""AttributesEx3"": 8, ""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 12, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 35467, ""EffectBasePoints_2"": -1, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EffectDieSides_2"": 1, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""NameSubtext_Lang_Mask"": 16712190, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_1"": 16, ""SpellClassSet"": 8, ""SpellLevel"": 12, ""SpellVisualID_1"": 90}",pulled from existing data
1776,Gouge,1,0,0,1376272,33,0,0,10000,3,45,0,5.0,,4000,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 2}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 80}","{""amplitude"": 0, ""apply_aura"": 12, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 0, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 14, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",245,,,"{""AttributesEx"": 134479872, ""AttributesEx3"": 1032, ""AttributesEx4"": 8388608, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 35980, ""AuraInterruptFlags"": 2, ""BaseLevel"": 6, ""CastingTimeIndex"": 1, ""DefenseType"": 2, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 35782, ""EffectBonusMultiplier_1"": 1.0, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": 2, ""EquippedItemSubclass"": 173555, ""FacingCasterFlags"": 1, ""NameSubtext_Lang_Mask"": 16712190, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 2, ""ProcChance"": 101, ""RangeIndex"": 2, ""SpellClassMask_1"": 8, ""SpellClassSet"": 8, ""SpellLevel"": 6, ""SpellVisualID_1"": 256, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1000}",pulled from existing data
1784,Stealth,1,5,0,437583888,38,0,0,10000,0,0,0,0.0,,-1,"{""amplitude"": 0, ""apply_aura"": 36, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 30, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 16, ""base_points"": 4, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 5.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 33, ""base_points"": -31, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",250,,,"{""ActiveIconID"": 30, ""AttributesEx"": 16, ""AttributesEx2"": 2097152, ""AttributesEx3"": 67108864, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 36292, ""AuraInterruptFlags"": 146436, ""BaseLevel"": 1, ""CastingTimeIndex"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 36202, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""ExcludeCasterAuraState"": 12, ""NameSubtext_Lang_Mask"": 16712190, ""Name_Lang_Mask"": 16712190, ""ProcChance"": 100, ""ProcCharges"": 1, ""ProcTypeMask"": 664232, ""RangeIndex"": 1, ""SpellClassMask_1"": 4194304, ""SpellClassSet"": 8, ""SpellLevel"": 1, ""SpellVisualID_1"": 184, ""StartRecoveryCategory"": 1178}",pulled from existing data
