id,name,school,dispel,mechanic,attributes,category,cast_time_ms,cooldown_ms,category_cooldown_ms,power_type,mana_cost,mana_cost_pct,range_yards,radius_yards,duration_ms,effect1,effect2,effect3,spell_icon_id,spell_weight,coeff_weight,raw_overrides,notes
131,Water Breathing,8,0,0,65536,0,0,0,0,0,0,2,30.0,,600000,"{""amplitude"": 0, ""apply_aura"": 82, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,545,,,"{""AttributesEx"": 131072, ""AttributesEx6"": 67108864, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 5083, ""BaseLevel"": 22, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 5035, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""ReagentCount_1"": 1, ""Reagent_1"": 17057, ""SpellClassMask_2"": 268437504, ""SpellClassSet"": 11, ""SpellLevel"": 22, ""SpellPriority"": 50, ""SpellVisualID_1"": 371, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data
324,Lightning Shield,8,1,0,327680,0,0,0,0,0,0,0,0.0,,600000,"{""amplitude"": 0, ""apply_aura"": 42, ""base_points"": 12, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 5.097222222222222, ""radius_yards"": null, ""trigger_spell"": 26545, ""type"": 6}",,,19,,,"{""AttributesEx"": 1024, ""AttributesEx3"": 196608, ""AttributesEx4"": 524288, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 7282, ""BaseLevel"": 8, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 6959, ""EffectBonusMultiplier_1"": 0.2669999897480011, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 100, ""ProcCharges"": 3, ""ProcTypeMask"": 139944, ""RangeIndex"": 1, ""SpellClassMask_1"": 1024, ""SpellClassSet"": 11, ""SpellLevel"": 8, ""SpellVisualID_1"": 37, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 8); RealPointsPerLevel from rank1->covers-60-overridden(undershoot-vs-top-rank) (anchor rank 11 @ level 80); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
331,Healing Wave,8,0,0,65536,0,3000,0,0,0,0,25,40.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 33, ""chain_targets"": 0, ""die_sides"": 11, ""implicit_target_a"": 45, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 37.9746835443038, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 10}",,,13,,,"{""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 1, ""CastingTimeIndex"": 16, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 7744, ""EffectBonusMultiplier_1"": 1.6109999418258667, ""EffectChainAmplitude_1"": 0.20000000298023224, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""InterruptFlags"": 15, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_1"": 64, ""SpellClassSet"": 11, ""SpellLevel"": 1, ""SpellVisualID_1"": 58, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 1); RealPointsPerLevel from rank1->covers-60-overridden(undershoot-vs-top-rank) (anchor rank 14 @ level 80); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
370,Purge,8,0,0,65536,0,0,0,0,0,0,8,30.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 1, ""points_per_level"": 0.020833333333333332, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 38}",,,47,,,"{""AttributesEx6"": 8388608, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 12, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 8192, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_2"": 2048, ""SpellClassSet"": 11, ""SpellLevel"": 12, ""SpellVisualID_1"": 214, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 12); RealPointsPerLevel from rank1->covers-60 (anchor rank 2 @ level 60); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
403,Lightning Bolt,8,0,0,65536,0,2500,0,0,0,0,10,30.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 12, ""chain_targets"": 0, ""die_sides"": 3, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 8.936708860759493, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 2}",,,62,,,"{""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 1, ""CastingTimeIndex"": 16, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 8640, ""EffectBonusMultiplier_1"": 0.7139999866485596, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""InterruptFlags"": 15, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""Speed"": 20.0, ""SpellClassMask_1"": 1, ""SpellClassSet"": 11, ""SpellLevel"": 1, ""SpellVisualID_1"": 173, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 1); RealPointsPerLevel from rank1->covers-60-overridden(undershoot-vs-top-rank) (anchor rank 14 @ level 80); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
421,Chain Lightning,8,0,0,65536,85,2000,0,6000,0,0,26,30.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 190, ""chain_targets"": 3, ""die_sides"": 27, ""implicit_target_a"": 6, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 16.291666666666668, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 2}",,,165,,,"{""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 32, ""CastingTimeIndex"": 5, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 8920, ""EffectBonusMultiplier_1"": 0.5709999799728394, ""EffectChainAmplitude_1"": 0.699999988079071, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""FacingCasterFlags"": 1, ""InterruptFlags"": 15, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_1"": 2, ""SpellClassSet"": 11, ""SpellLevel"": 32, ""SpellVisualID_1"": 36, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 32); RealPointsPerLevel from rank1->covers-60-overridden(undershoot-vs-top-rank) (anchor rank 8 @ level 80); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
526,Cure Toxins,8,0,0,65536,0,0,0,0,0,0,7,40.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 4, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 38}","{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": 0, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 3, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 38}",,194,,,"{""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 16, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 11530, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""SpellClassMask_2"": 8, ""SpellClassSet"": 11, ""SpellLevel"": 16, ""SpellVisualID_1"": 187, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data
546,Water Walking,8,0,0,65536,0,0,0,0,0,0,3,30.0,,600000,"{""amplitude"": 0, ""apply_aura"": 104, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,,101,,,"{""AttributesEx"": 131072, ""AttributesEx6"": 67108864, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 12023, ""AuraInterruptFlags"": 2, ""BaseLevel"": 28, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 11931, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""ReagentCount_1"": 1, ""Reagent_1"": 17058, ""SpellClassMask_2"": 536872960, ""SpellClassSet"": 11, ""SpellLevel"": 28, ""SpellVisualID_1"": 4483, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data
556,Astral Recall,8,0,0,268500992,511,10000,0,900000,0,0,5,0.0,,,"{""amplitude"": 0, ""apply_aura"": 0, ""base_points"": -1, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 1, ""implicit_target_b"": 9, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 5}",,,458,,,"{""AttributesEx"": 131072, ""AuraDescription_Lang_Mask"": 16712188, ""BaseLevel"": 30, ""CastingTimeIndex"": 7, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 12375, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""InterruptFlags"": 15, ""NameSubtext_Lang_Mask"": 16712188, ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 101, ""RangeIndex"": 1, ""SpellClassMask_2"": 1073741824, ""SpellClassSet"": 11, ""SpellLevel"": 30, ""SpellVisualID_1"": 220, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data
974,Earth Shield,8,1,0,327680,1195,0,0,0,0,0,15,40.0,,600000,"{""amplitude"": 0, ""apply_aura"": 4, ""base_points"": 149, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 0, ""points_per_level"": 5.5, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}","{""amplitude"": 0, ""apply_aura"": 149, ""base_points"": 29, ""chain_targets"": 0, ""die_sides"": 1, ""implicit_target_a"": 21, ""implicit_target_b"": 0, ""mechanic"": 0, ""misc_value"": 126, ""points_per_level"": 0.0, ""radius_yards"": null, ""trigger_spell"": 0, ""type"": 6}",,2015,,,"{""AttributesEx4"": 524288, ""AttributesEx5"": 32, ""AttributesEx6"": 67108864, ""AttributesEx7"": 1073742848, ""AuraDescription_Lang_Mask"": 16712190, ""AuraDescription_Lang_enUS"": 24345, ""AuraInterruptFlags"": 524288, ""BaseLevel"": 50, ""CastingTimeIndex"": 1, ""DefenseType"": 1, ""Description_Lang_Mask"": 16712190, ""Description_Lang_enUS"": 23977, ""EffectBonusMultiplier_1"": 1.0, ""EffectBonusMultiplier_3"": 0.0, ""EffectChainAmplitude_1"": 1.0, ""EffectChainAmplitude_2"": 1.0, ""EffectChainAmplitude_3"": 1.0, ""EquippedItemClass"": -1, ""MaxLevel"": 80, ""NameSubtext_Lang_Mask"": 16712190, ""NameSubtext_Lang_enUS"": """", ""Name_Lang_Mask"": 16712190, ""PreventionType"": 1, ""ProcChance"": 100, ""ProcCharges"": 6, ""ProcTypeMask"": 172712, ""SpellClassMask_2"": 1024, ""SpellClassSet"": 11, ""SpellDescriptionVariableID"": 170, ""SpellLevel"": 50, ""SpellVisualID_1"": 7362, ""StartRecoveryCategory"": 133, ""StartRecoveryTime"": 1500}",pulled from existing data; single-rank bootstrap: BasePoints/BaseLevel/SpellLevel kept from rank 1 (learn level 50); RealPointsPerLevel from rank1->covers-60 (anchor rank 2 @ level 60); coefficient/cast_time_ms/mana_cost_pct from max rank; MaxLevel set to 80
